Tool Name,Website URL
ChatGPT,https://chat.openai.com
Claude,https://claude.ai
Perplexity AI,https://www.perplexity.ai
Midjourney,https://www.midjourney.com
RunwayML,https://runwayml.com
Copy.ai,https://www.copy.ai
Jasper,https://www.jasper.ai
Writesonic,https://writesonic.com
Rytr,https://rytr.me
Grammarly,https://www.grammarly.com
Cursor,https://www.cursor.so
Codeium,https://www.codeium.com
Tabnine,https://www.tabnine.com
Replit,https://replit.com
GitHub Copilot,https://github.com/features/copilot
Fliki,https://fliki.ai
Synthesia,https://www.synthesia.io
HeyGen,https://www.heygen.com
Elai.io,https://elai.io
Pictory,https://pictory.ai
Durable,https://durable.co
10Web,https://10web.io
Bookmark,https://www.bookmark.com
Uizard,https://uizard.io
Canva,https://www.canva.com
Looka,https://looka.com
Namelix,https://namelix.com
Brandmark,https://brandmark.io
Designs.ai,https://designs.ai
Beautiful.ai,https://www.beautiful.ai
Gamma,https://gamma.app
SlidesAI,https://www.slidesai.io
Tome,https://tome.app
ChatPDF,https://www.chatpdf.com
AskYourPDF,https://askyourpdf.com
Humata AI,https://www.humata.ai
Monica,https://monica.im
Merlin,https://merlin.foyer.work
Poe,https://poe.com
You.com,https://you.com
Phind,https://phind.com
Andi Search,https://andisearch.com
Neeva,https://neeva.com
Krea,https://www.krea.ai
Leonardo AI,https://leonardo.ai
Playground AI,https://playgroundai.com
NightCafe,https://nightcafe.studio
Stable Diffusion,https://stability.ai
DALL-E,https://openai.com/dall-e-2
Imagen,https://imagen.google
Murf AI,https://murf.ai
ElevenLabs,https://elevenlabs.io
Play.ht,https://play.ht
Lovo AI,https://lovo.ai
Resemble AI,https://www.resemble.ai
WellSaid Labs,https://wellsaidlabs.com
Speechify,https://speechify.com
Otter AI,https://otter.ai
Fireflies AI,https://fireflies.ai
Krisp,https://krisp.ai
Boomy,https://boomy.com
Soundraw,https://soundraw.io
Mubert,https://mubert.com
Splash,https://www.splashmusic.com
Beatoven,https://www.beatoven.ai
Zapier,https://zapier.com
Make,https://www.make.com
n8n,https://n8n.io
Bardeen,https://bardeen.ai
Axiom,https://axiom.ai
Browse AI,https://browse.ai
Relevance AI,https://relevanceai.com
LangChain,https://www.langchain.com
Pinecone,https://www.pinecone.io
Weaviate,https://weaviate.io
Hugging Face,https://huggingface.co
Replicate,https://replicate.com
Banana,https://banana.dev
Modal,https://modal.com
RunPod,https://runpod.io
Vercel AI,https://vercel.ai
Vellum,https://www.vellum.ai
Humanloop,https://humanloop.com
PromptLayer,https://promptlayer.com
Continual,https://continual.ai
DataRobot,https://www.datarobot.com
Akkio,https://www.akkio.com
Obviously AI,https://www.obviously.ai
NoCode AI,https://www.nocodeai.io
Airtable,https://airtable.com
Notion,https://notion.so
Mem,https://mem.ai
Reflect,https://reflect.app
Taskade,https://www.taskade.com
Motion,https://www.motionapp.com
ClickUp,https://clickup.com
Asana,https://asana.com
Monday.com,https://monday.com
Smartsheet,https://www.smartsheet.com
Coda,https://coda.io
Airtable,https://airtable.com
Bubble,https://bubble.io
Glide,https://www.glideapps.com
Adalo,https://www.adalo.com
Thunkable,https://thunkable.com
FlutterFlow,https://flutterflow.io
Directual,https://www.directual.com
NoCode,https://nocode.tech
WeWeb,https://www.weweb.io
Softr,https://www.softr.io
Stacker,https://www.stackerhq.com
Noloco,https://noloco.io
Draftbit,https://draftbit.com
AppGyver,https://www.appgyver.com
Backendless,https://backendless.com
Supabase,https://supabase.com
Firebase,https://firebase.google.com
